id	name	chromosome
3153	GPR53P	CHR_HSCHR6_MHC_MANN_CTG1
3154	NULL	KI270728.1
3155	DDR1-DT	CHR_HSCHR6_MHC_MANN_CTG1
3156	NULL	KI270728.1
3157	BRD2	CHR_HSCHR6_MHC_MANN_CTG1
3158	NULL	KI270728.1
3159	NULL	KI270728.1
3160	NULL	CHR_HSCHR16_1_CTG1
3161	RRN3	CHR_HSCHR16_1_CTG1
3162	LINC02536	CHR_HSCHR6_1_CTG8
3163	CHCHD2P2	CHR_HSCHR5_2_CTG1_1
3164	PTPRK-AS1	CHR_HSCHR6_1_CTG8
3165	NULL	CHR_HSCHR5_2_CTG1_1
3166	MSH5	CHR_HSCHR6_MHC_APD_CTG1
3167	MRPS17P5	CHR_HSCHR6_1_CTG8
3168	NULL	CHR_HSCHR6_1_CTG8
3169	GTF2H2C_2	CHR_HSCHR5_2_CTG1_1
3170	IGHA2	CHR_HSCHR14_3_CTG1
3171	NULL	CHR_HSCHR6_1_CTG8
3172	NULL	CHR_HSCHR6_1_CTG8
3173	PTPRK	CHR_HSCHR6_1_CTG8
3174	TAS2R31	CHR_HSCHR12_3_CTG2
3175	IGHD4-17	CHR_HSCHR14_3_CTG1
3176	TAS2R8	CHR_HSCHR12_3_CTG2
3177	IGHEP1	CHR_HSCHR14_3_CTG1
3178	TAS2R13	CHR_HSCHR12_3_CTG2
3179	IGHG3	CHR_HSCHR14_3_CTG1
3180	PRB4	CHR_HSCHR12_3_CTG2
3181	IGHJ5	CHR_HSCHR14_3_CTG1
3182	ATP6V1G1P1	CHR_HSCHR14_3_CTG1
3183	IGHD1-26	CHR_HSCHR14_3_CTG1
3184	IGHD7-27	CHR_HSCHR14_3_CTG1
3185	NULL	CHR_HSCHR14_3_CTG1
3186	TAS2R43	CHR_HSCHR12_3_CTG2
3187	NULL	CHR_HSCHR12_3_CTG2
3188	IGHV3-11	CHR_HSCHR14_3_CTG1
3189	PRH1	CHR_HSCHR12_3_CTG2
3190	IGHD3-3	CHR_HSCHR14_3_CTG1
3191	IGHD3-22	CHR_HSCHR14_3_CTG1
3192	IGHD6-19	CHR_HSCHR14_3_CTG1
3193	NULL	CHR_HSCHR17_7_CTG4
3194	NULL	CHR_HSCHR14_3_CTG1
3195	IGHJ1	CHR_HSCHR14_3_CTG1
3196	CCL16	CHR_HSCHR17_7_CTG4
3197	RPL15P4	CHR_HSCHR6_MHC_DBB_CTG1
3198	IGHJ2	CHR_HSCHR14_3_CTG1
3199	PSORS1C2	CHR_HSCHR6_MHC_DBB_CTG1
3200	SLC22A18AS	CHR_HSCHR11_1_CTG7
3201	IGHV3-20	CHR_HSCHR14_3_CTG1
3202	NULL	CHR_HSCHR12_3_CTG2
3203	IGHE	CHR_HSCHR14_3_CTG1
3204	NOP56P1	CHR_HSCHR6_MHC_DBB_CTG1
3205	TAS2R10	CHR_HSCHR12_3_CTG2
3206	NULL	CHR_HSCHR5_4_CTG1_1
3207	IGHV1-24	CHR_HSCHR14_3_CTG1
3208	NULL	CHR_HSCHR5_4_CTG1_1
3209	VARS1	CHR_HSCHR6_MHC_DBB_CTG1
3210	RN7SKP117	CHR_HSCHR5_4_CTG1_1
3211	TAS2R14	CHR_HSCHR12_3_CTG2
3212	NULL	CHR_HSCHR14_3_CTG1
3213	KCNQ1DN	CHR_HSCHR11_1_CTG7
3214	IGHJ3P	CHR_HSCHR14_3_CTG1
3215	FAM30A	CHR_HSCHR14_3_CTG1
3216	TAS2R15P	CHR_HSCHR12_3_CTG2
3217	NULL	CHR_HSCHR11_1_CTG7
3218	U1	CHR_HSCHR11_1_CTG7
3219	SNORA54	CHR_HSCHR11_1_CTG7
3220	TAS2R63P	CHR_HSCHR12_3_CTG2
3221	TAS2R46	CHR_HSCHR12_3_CTG2
3222	KIR3DL3	CHR_HSCHR19LRC_PGF1_CTG3_1
3223	ELK2BP	CHR_HSCHR14_3_CTG1
3224	IGHA1	CHR_HSCHR14_3_CTG1
3225	DDX52	CHR_HSCHR17_7_CTG4
3226	LINC01238	CHR_HSCHR2_2_CTG15
3227	NULL	CHR_HSCHR2_2_CTG15
3228	NULL	CHR_HSCHR14_3_CTG1
3229	VSTM1	CHR_HSCHR19_4_CTG3_1
3230	NULL	CHR_HSCHR2_2_CTG15
3231	IGHD1-14	CHR_HSCHR14_3_CTG1
3232	NULL	CHR_HSCHR2_2_CTG15
3233	IGHV1-3	CHR_HSCHR14_3_CTG1
3234	LINC01880	CHR_HSCHR2_2_CTG15
3235	IGHVIII-38-1	CHR_HSCHR14_3_CTG1
3236	IGHV7-34-1	CHR_HSCHR14_3_CTG1
3237	IGHV4-34	CHR_HSCHR14_3_CTG1
3238	NULL	CHR_HSCHR14_3_CTG1
3239	IGHGP	CHR_HSCHR14_3_CTG1
3240	NULL	CHR_HSCHR14_3_CTG1
3241	IGHM	CHR_HSCHR14_3_CTG1
3242	IGHV4-39	CHR_HSCHR14_3_CTG1
3243	LINC01347	CHR_HSCHR1_3_CTG32_1
3244	IGHG1	CHR_HSCHR14_3_CTG1
3245	NULL	CHR_HSCHR8_4_CTG7
3246	SDCCAG8	CHR_HSCHR1_3_CTG32_1
3247	LY6L	CHR_HSCHR8_4_CTG7
3248	LY6H	CHR_HSCHR8_4_CTG7
3249	HLA-F	CHR_HSCHR6_MHC_MCF_CTG1
3250	GARRE1	CHR_HSCHR19_2_CTG3_1
3251	LILRB4	CHR_HSCHR19LRC_PGF1_CTG3_1
3252	GLIS2	CHR_HSCHR16_3_CTG1
3253	COL11A2P1	CHR_HSCHR6_MHC_QBL_CTG1
3254	IGHV3-33	CHR_HSCHR14_3_CTG1
3255	MICC	CHR_HSCHR6_MHC_QBL_CTG1
3256	NULL	CHR_HSCHR6_MHC_QBL_CTG1
3257	IGHD6-25	CHR_HSCHR14_3_CTG1
3258	HTATSF1P1	CHR_HSCHR6_MHC_QBL_CTG1
3259	IGHD2-8	CHR_HSCHR14_3_CTG1
3260	TRIM40	CHR_HSCHR6_MHC_QBL_CTG1
3261	IGHVIII-47-1	CHR_HSCHR14_3_CTG1
3262	IGHV3-21	CHR_HSCHR14_3_CTG1
3263	IGHV1-17	CHR_HSCHR14_3_CTG1
3264	NULL	CHR_HSCHR16_3_CTG1
3265	NULL	CHR_HSCHR16_3_CTG1
3266	IGHD6-6	CHR_HSCHR14_3_CTG1
3267	VASN	CHR_HSCHR16_3_CTG1
3268	IGHD	CHR_HSCHR14_3_CTG1
3269	IGHV1-12	CHR_HSCHR14_3_CTG1
3270	IGHD2-21	CHR_HSCHR14_3_CTG1
3271	CORO7-PAM16	CHR_HSCHR16_3_CTG1
3272	IGHD5-12	CHR_HSCHR14_3_CTG1
3273	SLC20A1P2	CHR_HSCHR14_3_CTG1
3274	LST1	CHR_HSCHR6_MHC_QBL_CTG1
3275	IGHJ6	CHR_HSCHR14_3_CTG1
3276	ZDHHC20P1	CHR_HSCHR6_MHC_SSTO_CTG1
3277	IGHV1-45	CHR_HSCHR14_3_CTG1
3278	IER3	CHR_HSCHR6_MHC_SSTO_CTG1
3279	IGHV3-50	CHR_HSCHR14_3_CTG1
3280	IGHV4-28	CHR_HSCHR14_3_CTG1
3281	IGHV3-53	CHR_HSCHR14_3_CTG1
3282	IGHD4-23	CHR_HSCHR14_3_CTG1
3283	IGHG4	CHR_HSCHR14_3_CTG1
3284	C8orf31	CHR_HSCHR8_4_CTG7
3285	HLA-H	CHR_HSCHR6_MHC_SSTO_CTG1
3286	NULL	CHR_HSCHR6_MHC_MCF_CTG1
3287	LINC01015	CHR_HSCHR6_MHC_SSTO_CTG1
3288	FKBPL	CHR_HSCHR6_MHC_MCF_CTG1
3289	MDC1	CHR_HSCHR6_MHC_APD_CTG1
3290	IGHJ2P	CHR_HSCHR14_3_CTG1
3291	IGHV1-68	CHR_HSCHR14_3_CTG1
3292	NULL	CHR_HSCHR6_MHC_SSTO_CTG1
3293	IGHVIII-22-2	CHR_HSCHR14_3_CTG1
3294	IGHVII-40-1	CHR_HSCHR14_3_CTG1
3295	RPL12P1	CHR_HSCHR6_MHC_SSTO_CTG1
3296	IGHV3-54	CHR_HSCHR14_3_CTG1
3297	TMPOP1	CHR_HSCHR6_MHC_SSTO_CTG1
3298	GNL1	CHR_HSCHR6_MHC_MCF_CTG1
3299	IGHJ3	CHR_HSCHR14_3_CTG1
3300	RPS18	CHR_HSCHR6_MHC_SSTO_CTG1
3301	IGHV3-16	CHR_HSCHR14_3_CTG1
3302	CUBNP2	CHR_HSCHR10_1_CTG2
3303	IGHJ4	CHR_HSCHR14_3_CTG1
3304	NULL	CHR_HSCHR10_1_CTG2
3305	MARCHF8	CHR_HSCHR10_1_CTG2
3306	NULL	CHR_HSCHR14_3_CTG1
3307	IGHJ1P	CHR_HSCHR14_3_CTG1
3308	IGHV7-56	CHR_HSCHR14_3_CTG1
3309	IGHV3-13	CHR_HSCHR14_3_CTG1
3310	CYP21A1P	CHR_HSCHR6_MHC_SSTO_CTG1
3311	PARN	CHR_HSCHR16_1_CTG1
3312	IGHV1-18	CHR_HSCHR14_3_CTG1
3313	NULL	CHR_HSCHR6_MHC_DBB_CTG1
3314	NULL	CHR_HSCHR10_1_CTG2
3315	NULL	CHR_HSCHR17_7_CTG4
3316	NULL	CHR_HSCHR6_MHC_DBB_CTG1
3317	OR6D1P	CHR_HSCHR10_1_CTG2
3318	TBC1D3K	CHR_HSCHR17_7_CTG4
3319	IGHVIII-25-1	CHR_HSCHR14_3_CTG1
3320	OR5V1	CHR_HSCHR6_MHC_DBB_CTG1
3321	OR14J1	CHR_HSCHR6_MHC_SSTO_CTG1
3322	IGHD3-9	CHR_HSCHR14_3_CTG1
3323	NULL	CHR_HSCHR10_1_CTG2
3324	LY6E	CHR_HSCHR8_4_CTG7
3325	NULL	CHR_HSCHR6_MHC_DBB_CTG1
3326	IGHVIII-2-1	CHR_HSCHR14_3_CTG1
3327	ANKRD30BP3	CHR_HSCHR10_1_CTG2
3328	IGHVII-74-1	CHR_HSCHR14_3_CTG1
3329	NULL	CHR_HSCHR14_3_CTG1
3330	AIF1	CHR_HSCHR6_MHC_SSTO_CTG1
3331	OR12D2	CHR_HSCHR6_MHC_DBB_CTG1
3332	OR13A1	CHR_HSCHR10_1_CTG2
3333	IGHVII-15-1	CHR_HSCHR14_3_CTG1
3334	IGHVII-44-2	CHR_HSCHR14_3_CTG1
3335	IGHV3-19	CHR_HSCHR14_3_CTG1
3336	ADAM6	CHR_HSCHR14_3_CTG1
3337	NULL	CHR_HSCHR6_MHC_DBB_CTG1
3338	HLA-H	CHR_HSCHR6_MHC_DBB_CTG1
3339	OR12D3	CHR_HSCHR6_MHC_COX_CTG1
3340	PPIAP9	CHR_HSCHR6_MHC_DBB_CTG1
3341	MCCD1P1	CHR_HSCHR6_MHC_DBB_CTG1
3342	LINC01623	CHR_HSCHR6_MHC_DBB_CTG1
3343	ALOX5	CHR_HSCHR10_1_CTG2
3344	TRIM31-AS1	CHR_HSCHR6_MHC_DBB_CTG1
3345	TNF	CHR_HSCHR6_MHC_COX_CTG1
3346	NULL	CHR_HSCHR6_1_CTG4
3347	IGHD1-20	CHR_HSCHR14_3_CTG1
3348	NULL	CHR_HSCHR6_1_CTG4
3349	IGHVIII-11-1	CHR_HSCHR14_3_CTG1
3350	RPS18	CHR_HSCHR6_MHC_DBB_CTG1
3351	IGHVIII-5-1	CHR_HSCHR14_3_CTG1
3352	IGHVIII-13-1	CHR_HSCHR14_3_CTG1
3353	IGHV1-2	CHR_HSCHR14_3_CTG1
3354	ERMARD	CHR_HSCHR6_1_CTG4
3355	NULL	CHR_HSCHR14_3_CTG1
3356	GLIS2-AS1	CHR_HSCHR16_3_CTG1
3357	IGHVIII-67-3	CHR_HSCHR14_3_CTG1
3358	IGHV3-30-2	CHR_HSCHR14_3_CTG1
3359	HOMER2P2	CHR_HSCHR14_3_CTG1
3360	IGHD5-24	CHR_HSCHR14_3_CTG1
3361	U2	GL000216.2
3362	IGHD2-15	CHR_HSCHR14_3_CTG1
3363	NULL	CHR_HSCHR16_3_CTG1
3364	IGHV3-64	CHR_HSCHR14_3_CTG1
3365	NMRAL1	CHR_HSCHR16_3_CTG1
3366	IGHV3-65	CHR_HSCHR14_3_CTG1
3367	IGHV3-35	CHR_HSCHR14_3_CTG1
3368	IGHVII-22-1	CHR_HSCHR14_3_CTG1
3369	ELK2AP	CHR_HSCHR14_3_CTG1
3370	IGHV3-15	CHR_HSCHR14_3_CTG1
3371	PPP1R11	CHR_HSCHR6_MHC_COX_CTG1
3372	LINC01347	CHR_HSCHR1_3_CTG32_1
3373	IGHV5-51	CHR_HSCHR14_3_CTG1
3374	NULL	CHR_HSCHR19_4_CTG3_1
3375	RNU6-747P	CHR_HSCHR1_3_CTG32_1
3376	NULL	CHR_HSCHR14_3_CTG1
3377	IGHVII-46-1	CHR_HSCHR14_3_CTG1
3378	NULL	CHR_HSCHR19_4_CTG3_1
3379	IGHV3-42	CHR_HSCHR14_3_CTG1
3380	IGHV3-6	CHR_HSCHR14_3_CTG1
3381	IGHV3-7	CHR_HSCHR14_3_CTG1
3382	LAIR1	CHR_HSCHR19_4_CTG3_1
3383	IGHV2-26	CHR_HSCHR14_3_CTG1
3384	IGHV4-55	CHR_HSCHR14_3_CTG1
3385	IGHD5-5	CHR_HSCHR14_3_CTG1
3386	TRIM26	CHR_HSCHR6_MHC_MANN_CTG1
3387	IGHD4-4	CHR_HSCHR14_3_CTG1
3388	IGHD3-10	CHR_HSCHR14_3_CTG1
3389	IGHVII-67-1	CHR_HSCHR14_3_CTG1
3390	IGHV7-27	CHR_HSCHR14_3_CTG1
3391	IGHV3-41	CHR_HSCHR14_3_CTG1
3392	IGHVII-62-1	CHR_HSCHR14_3_CTG1
3393	IGHVIII-5-2	CHR_HSCHR14_3_CTG1
3394	IGHV4-59	CHR_HSCHR14_3_CTG1
3395	IGHV3-33-2	CHR_HSCHR14_3_CTG1
3396	IGHV2-70	CHR_HSCHR14_3_CTG1
3397	IGHVIII-76-1	CHR_HSCHR14_3_CTG1
3398	IGHV3-43	CHR_HSCHR14_3_CTG1
3399	NULL	CHR_HSCHR19LRC_PGF1_CTG3_1
3400	KIR3DL2	CHR_HSCHR19LRC_PGF1_CTG3_1
3401	IGHV3-66	CHR_HSCHR14_3_CTG1
3402	HLA-W	CHR_HSCHR6_MHC_APD_CTG1
3403	IGHD3-16	CHR_HSCHR14_3_CTG1
3404	IGHVII-53-1	CHR_HSCHR14_3_CTG1
3405	HLA-DPB1	CHR_HSCHR6_MHC_APD_CTG1
3406	IGHV3-22	CHR_HSCHR14_3_CTG1
3407	IGHV3-72	CHR_HSCHR14_3_CTG1
3408	HMGB1P24	CHR_HSCHR17_7_CTG4
3409	LHX1-DT	CHR_HSCHR17_7_CTG4
3410	NULL	CHR_HSCHR14_3_CTG1
3411	IGHV3-48	CHR_HSCHR14_3_CTG1
3412	NULL	CHR_HSCHR6_MHC_MCF_CTG1
3413	IGHV7-40	CHR_HSCHR14_3_CTG1
3414	TRIM40	CHR_HSCHR6_MHC_MCF_CTG1
3415	IGHV3-69-1	CHR_HSCHR14_3_CTG1
3416	NULL	CHR_HSCHR5_2_CTG1_1
3417	RPS27P14	CHR_HSCHR5_2_CTG1_1
3418	IGHV1-69D	CHR_HSCHR14_3_CTG1
3419	IGHV3-29	CHR_HSCHR14_3_CTG1
3420	IGHV3-36	CHR_HSCHR14_3_CTG1
3421	LYZL6	CHR_HSCHR17_7_CTG4
3422	IGHV1-58	CHR_HSCHR14_3_CTG1
3423	MARVELD2	CHR_HSCHR5_2_CTG1_1
3424	IGHV2-5	CHR_HSCHR14_3_CTG1
3425	PPP1R2P1	CHR_HSCHR6_MHC_COX_CTG1
3426	HLA-P	CHR_HSCHR6_MHC_COX_CTG1
3427	IGHV3-47	CHR_HSCHR14_3_CTG1
3428	TRIM39	CHR_HSCHR6_MHC_DBB_CTG1
3429	IGHVIII-44	CHR_HSCHR14_3_CTG1
3430	IGHV8-51-1	CHR_HSCHR14_3_CTG1
3431	OR5V1	CHR_HSCHR6_MHC_SSTO_CTG1
3432	OR2B3	CHR_HSCHR6_MHC_COX_CTG1
3433	IGHV3-57	CHR_HSCHR14_3_CTG1
3434	LY6G5C	CHR_HSCHR6_MHC_MCF_CTG1
3435	UBD	CHR_HSCHR6_MHC_COX_CTG1
3436	IGHV3-63	CHR_HSCHR14_3_CTG1
3437	NOP56P1	CHR_HSCHR6_MHC_SSTO_CTG1
3438	IGHVIII-26-1	CHR_HSCHR14_3_CTG1
3439	NULL	CHR_HSCHR14_3_CTG1
3440	HLA-DOA	CHR_HSCHR6_MHC_SSTO_CTG1
3441	NULL	CHR_HSCHR14_3_CTG1
3442	NULL	CHR_HSCHR14_3_CTG1
3443	IGHVII-30-1	CHR_HSCHR14_3_CTG1
3444	PSMB8-AS1	CHR_HSCHR6_MHC_COX_CTG1
3445	IGHD1-1	CHR_HSCHR14_3_CTG1
3446	IGHV6-1	CHR_HSCHR14_3_CTG1
3447	IGHV3-60	CHR_HSCHR14_3_CTG1
3448	IGHV3-38	CHR_HSCHR14_3_CTG1
3449	IGHV3-73	CHR_HSCHR14_3_CTG1
3450	IGHV4-61	CHR_HSCHR14_3_CTG1
3451	IGHD5-18	CHR_HSCHR14_3_CTG1
3452	MRPL45	CHR_HSCHR17_7_CTG4
3453	IGHVII-51-2	CHR_HSCHR14_3_CTG1
3454	IGHD6-13	CHR_HSCHR14_3_CTG1
3455	GRK1	CHR_HSCHR13_1_CTG5
3456	IGHV3-74	CHR_HSCHR14_3_CTG1
3457	KRT18P1	CHR_HSCHR6_MHC_SSTO_CTG1
3458	OR2W1	CHR_HSCHR6_MHC_SSTO_CTG1
3459	IGHV3-25	CHR_HSCHR14_3_CTG1
3460	HCG15	CHR_HSCHR6_MHC_COX_CTG1
3461	IGHVII-65-1	CHR_HSCHR14_3_CTG1
3462	HLA-Z	CHR_HSCHR6_MHC_SSTO_CTG1
3463	IGHV3-75	CHR_HSCHR14_3_CTG1
3464	DHFRP2	CHR_HSCHR6_MHC_SSTO_CTG1
3465	IGHV2-70D	CHR_HSCHR14_3_CTG1
3466	ZNF311	CHR_HSCHR6_MHC_SSTO_CTG1
3467	TMEM255B	CHR_HSCHR13_1_CTG5
3468	CLIC1	CHR_HSCHR6_MHC_COX_CTG1
3469	LINC00552	CHR_HSCHR13_1_CTG5
3470	NULL	CHR_HSCHR14_3_CTG1
3471	IGHD1-7	CHR_HSCHR14_3_CTG1
3472	HLA-DPB2	CHR_HSCHR6_MHC_MCF_CTG1
3473	IGHVII-33-1	CHR_HSCHR14_3_CTG1
3474	IGHV3-37	CHR_HSCHR14_3_CTG1
3475	IGHVII-26-2	CHR_HSCHR14_3_CTG1
3476	IGHV3-62	CHR_HSCHR14_3_CTG1
3477	LY6G6F	CHR_HSCHR6_MHC_MCF_CTG1
3478	NULL	CHR_HSCHR14_3_CTG1
3479	ATP5MC1P1	CHR_HSCHR14_3_CTG1
3480	IGHV1-67	CHR_HSCHR14_3_CTG1
3481	IGHVII-1-1	CHR_HSCHR14_3_CTG1
3482	PSORS1C3	CHR_HSCHR6_MHC_SSTO_CTG1
3483	IGHD2-2	CHR_HSCHR14_3_CTG1
3484	HOMER2P1	CHR_HSCHR14_3_CTG1
3485	IGHVIV-44-1	CHR_HSCHR14_3_CTG1
3486	IGHD4-11	CHR_HSCHR14_3_CTG1
3487	HLA-DRB7	CHR_HSCHR6_MHC_SSTO_CTG1
3488	IGHV1-69-2	CHR_HSCHR14_3_CTG1
3489	HLA-P	CHR_HSCHR6_MHC_SSTO_CTG1
3490	IGHV3-30	CHR_HSCHR14_3_CTG1
3491	IGHVIII-67-4	CHR_HSCHR14_3_CTG1
3492	IGHV4-4	CHR_HSCHR14_3_CTG1
3493	HLA-L	CHR_HSCHR6_MHC_SSTO_CTG1
3494	IGHG2	CHR_HSCHR14_3_CTG1
3495	ZNF70P1	CHR_HSCHR6_MHC_MCF_CTG1
3496	HMOX2	CHR_HSCHR16_3_CTG1
3497	DDX39BP1	CHR_HSCHR6_MHC_SSTO_CTG1
3498	HLA-DRB1	CHR_HSCHR6_MHC_SSTO_CTG1
3499	TBC1D3L	CHR_HSCHR17_7_CTG4
3500	AGER	CHR_HSCHR6_MHC_MCF_CTG1
3501	OR2G1P	CHR_HSCHR6_MHC_SSTO_CTG1
3502	HLA-DRA	CHR_HSCHR6_MHC_SSTO_CTG1
3503	OR2J2	CHR_HSCHR6_MHC_MANN_CTG1
3504	IGHV3-71	CHR_HSCHR14_3_CTG1
3505	IGHV1-69	CHR_HSCHR14_3_CTG1
3506	IFITM4P	CHR_HSCHR6_MHC_MANN_CTG1
3507	IGHV3-52	CHR_HSCHR14_3_CTG1
3508	TNXB	CHR_HSCHR6_MHC_MANN_CTG1
3509	IGHV3-49	CHR_HSCHR14_3_CTG1
3510	LY6E-DT	CHR_HSCHR8_4_CTG7
3511	COPDA1	CHR_HSCHR14_3_CTG1
3512	IGHV3-76	CHR_HSCHR14_3_CTG1
3513	IGHVII-49-1	CHR_HSCHR14_3_CTG1
3514	IGHV1-46	CHR_HSCHR14_3_CTG1
3515	AK3P2	CHR_HSCHR8_4_CTG7
3516	SLC20A1P1	CHR_HSCHR14_3_CTG1
3517	RNU6-1207P	CHR_HSCHR10_1_CTG2
3518	IGHVII-60-1	CHR_HSCHR14_3_CTG1
3519	IGHV5-78	CHR_HSCHR14_3_CTG1
3520	IGHV3-23	CHR_HSCHR14_3_CTG1
3521	IGHVIII-67-2	CHR_HSCHR14_3_CTG1
3522	IGHV1-14	CHR_HSCHR14_3_CTG1
3523	5S_rRNA	CHR_HSCHR14_3_CTG1
3524	BDP1	CHR_HSCHR5_2_CTG1_1
3525	OR2U1P	CHR_HSCHR6_MHC_MANN_CTG1
3526	TMC4	CHR_HSCHR19LRC_PGF1_CTG3_1
3527	HCG27	CHR_HSCHR6_MHC_MANN_CTG1
3528	HCG4	CHR_HSCHR6_MHC_QBL_CTG1
3529	RPL15P4	CHR_HSCHR6_MHC_MANN_CTG1
3530	HCG15	CHR_HSCHR6_MHC_QBL_CTG1
3531	NULL	CHR_HSCHR17_7_CTG4
3532	ABHD16A	CHR_HSCHR6_MHC_QBL_CTG1
3533	PPT2	CHR_HSCHR6_MHC_MANN_CTG1
3534	GNL1	CHR_HSCHR6_MHC_SSTO_CTG1
3535	ACACA	CHR_HSCHR17_7_CTG4
3536	HLA-DMA	CHR_HSCHR6_MHC_APD_CTG1
3537	NAPRT	CHR_HSCHR8_3_CTG7
3538	NULL	CHR_HSCHR6_MHC_DBB_CTG1
3539	NULL	CHR_HSCHR16_1_CTG1
3540	HLA-P	CHR_HSCHR6_MHC_DBB_CTG1
3541	NULL	CHR_HSCHR16_1_CTG1
3542	NULL	CHR_HSCHR2_1_CTG7
3543	NULL	CHR_HSCHR2_1_CTG7
3544	PLA2G10	CHR_HSCHR16_1_CTG1
3545	NULL	CHR_HSCHR2_1_CTG7
3546	IGKV1OR2-118	CHR_HSCHR2_1_CTG7
3547	HCG4	CHR_HSCHR6_MHC_DBB_CTG1
3548	HSPA1A	CHR_HSCHR6_MHC_DBB_CTG1
3549	TNXB	CHR_HSCHR6_MHC_DBB_CTG1
3550	NULL	CHR_HSCHR16_1_CTG1
3551	MCCD1P1	CHR_HSCHR6_MHC_APD_CTG1
3552	POLR1H	CHR_HSCHR6_MHC_APD_CTG1
3553	LY6G6E	CHR_HSCHR6_MHC_SSTO_CTG1
3554	KIR2DL4	CHR_HSCHR19LRC_PGF1_CTG3_1
3555	TRIM31-AS1	CHR_HSCHR6_MHC_SSTO_CTG1
3556	HCG22	CHR_HSCHR6_MHC_COX_CTG1
3557	CFB	CHR_HSCHR6_MHC_SSTO_CTG1
3558	LINC00242	CHR_HSCHR6_1_CTG4
3559	LINC00574	CHR_HSCHR6_1_CTG4
3560	NULL	CHR_HSCHR6_1_CTG4
3561	SAR1AP1	CHR_HSCHR6_MHC_COX_CTG1
3562	NULL	CHR_HSCHR6_1_CTG4
3563	RPL7P4	CHR_HSCHR6_MHC_COX_CTG1
3564	GPR53P	CHR_HSCHR6_MHC_COX_CTG1
3565	DYNLT2	CHR_HSCHR6_1_CTG4
3566	ABCF1	CHR_HSCHR6_MHC_COX_CTG1
3567	CCDC166	CHR_HSCHR8_3_CTG7
3568	ZNF707	CHR_HSCHR8_3_CTG7
3569	OCLN	CHR_HSCHR5_2_CTG1_1
3570	NULL	CHR_HSCHR16_1_CTG1
3571	PKD1P3	CHR_HSCHR16_1_CTG1
3572	OR11A1	CHR_HSCHR6_MHC_QBL_CTG1
3573	TMEM183AP1	CHR_HSCHR6_MHC_QBL_CTG1
3574	DDAH2	CHR_HSCHR6_MHC_QBL_CTG1
3575	NULL	CHR_HSCHR16_1_CTG1
3576	ADAM2	CHR_HSCHR8_9_CTG1
3577	GPR53P	CHR_HSCHR6_MHC_DBB_CTG1
3578	MBOAT7	CHR_HSCHR19LRC_PGF1_CTG3_1
3579	RPL3P2	CHR_HSCHR6_MHC_DBB_CTG1
3580	HLA-L	CHR_HSCHR6_MHC_DBB_CTG1
3581	DDAH2	CHR_HSCHR6_MHC_DBB_CTG1
3582	NULL	CHR_HSCHR5_2_CTG1_1
3583	CEP20	CHR_HSCHR16_1_CTG1
3584	NULL	CHR_HSCHR5_2_CTG1_1
3585	TRIM31	CHR_HSCHR6_MHC_APD_CTG1
3586	SERF1B	CHR_HSCHR5_2_CTG1_1
3587	DUX4L9	CHR_HSCHR4_6_CTG12
3588	NULL	CHR_HSCHR4_6_CTG12
3589	TUBB7P	CHR_HSCHR4_6_CTG12
3590	NULL	CHR_HSCHR4_6_CTG12
3591	FRG2	CHR_HSCHR4_6_CTG12
3592	EHMT2	CHR_HSCHR6_MHC_APD_CTG1
3593	LILRB4	CHR_HSCHR19_4_CTG3_1
3594	FRG1-DT	CHR_HSCHR4_6_CTG12
3595	NULL	CHR_HSCHR4_6_CTG12
3596	NULL	CHR_HSCHR4_6_CTG12
3597	FRG1	CHR_HSCHR4_6_CTG12
3598	CCDC125	CHR_HSCHR5_2_CTG1_1
3599	HLA-DPA3	CHR_HSCHR6_MHC_SSTO_CTG1
3600	NULL	CHR_HSCHR6_MHC_SSTO_CTG1
3601	HCG15	CHR_HSCHR6_MHC_SSTO_CTG1
3602	PAIP1P1	CHR_HSCHR6_MHC_SSTO_CTG1
3603	NFKBIL1	CHR_HSCHR6_MHC_SSTO_CTG1
3604	GAL3ST2	CHR_HSCHR2_3_CTG15
3605	RPL15P20	CHR_HSCHR16_1_CTG1
3606	ABCC6P2	CHR_HSCHR16_1_CTG1
3607	NEU4	CHR_HSCHR2_3_CTG15
3608	NULL	CHR_HSCHR16_1_CTG1
3609	PDXDC1	CHR_HSCHR16_1_CTG1
3610	TCF19	CHR_HSCHR6_MHC_MANN_CTG1
3611	LINC01596	CHR_HSCHR4_6_CTG12
3612	RNU1-51P	CHR_HSCHR4_6_CTG12
3613	5S_rRNA	CHR_HSCHR4_6_CTG12
3614	5S_rRNA	CHR_HSCHR4_6_CTG12
3615	PAM16	CHR_HSCHR16_3_CTG1
3616	KIR3DL1	CHR_HSCHR19LRC_PGF1_CTG3_1
3617	DDX6P1	CHR_HSCHR6_MHC_MANN_CTG1
3618	HCG25	CHR_HSCHR6_MHC_QBL_CTG1
3619	MOG	CHR_HSCHR6_MHC_MANN_CTG1
3620	NULL	CHR_HSCHR6_MHC_QBL_CTG1
3621	DDX6P1	CHR_HSCHR6_MHC_SSTO_CTG1
3622	TRIM15	CHR_HSCHR6_MHC_QBL_CTG1
3623	ABCF1	CHR_HSCHR6_MHC_SSTO_CTG1
3624	NAIPP4	CHR_HSCHR5_2_CTG1_1
